AAEL000001	bystin
AAEL003756	conserved hypothetical protein
AAEL003757	glutamate dehydrogenase
AAEL003758	sorting nexin
AAEL003759	calcium-activated potassium channel alpha subunit
AAEL003760	conserved hypothetical protein
AAEL003761	hypothetical protein
AAEL003762	Protoporphyrinogen IX oxidase, putative
AAEL003763	cytochrome P450
AAEL003764	hypothetical protein
AAEL003765	calcium-activated potassium channel alpha chain
AAEL003766	hypothetical protein
AAEL003767	hypothetical protein
AAEL003768	hypothetical protein
AAEL003769	methionine aminopeptidase
AAEL003770	conserved hypothetical protein
AAEL003771	trithorax protein ash2
AAEL003772	hypothetical protein
AAEL003773	hypothetical protein
AAEL003774	conserved hypothetical protein
AAEL003775	hypothetical protein
AAEL003776	conserved hypothetical protein
AAEL003777	hypothetical protein
AAEL003778	conserved hypothetical protein
AAEL003779	hypothetical protein
AAEL003780	hypothetical protein
AAEL003781	zinc carboxypeptidase
AAEL003782	conserved hypothetical protein
AAEL003783	hypothetical protein
AAEL003784	conserved hypothetical protein
AAEL003785	conserved hypothetical protein
AAEL003786	DNA-directed RNA polymerase III, 34kD-subunit, putative
AAEL003787	conserved hypothetical protein
AAEL003788	conserved hypothetical protein
AAEL003789	exportin, putative
AAEL003790	conserved hypothetical protein
AAEL003791	conserved hypothetical protein
AAEL003792	conserved hypothetical protein
AAEL003793	hypothetical protein
AAEL003794	homeobox protein nk-2
AAEL003795	conserved hypothetical protein
AAEL003796	hypothetical protein
AAEL003797	hypothetical protein
AAEL003798	hypothetical protein
AAEL003799	conserved hypothetical protein
AAEL003800	hypothetical protein
AAEL003801	28S ribosomal protein S5
AAEL003802	conserved hypothetical protein
AAEL003803	conserved hypothetical protein
AAEL003804	conserved hypothetical protein
AAEL003805	conserved hypothetical protein
AAEL003806	hypothetical protein
AAEL003807	conserved hypothetical protein
AAEL003808	sugar transporter
AAEL003809	sugar transporter
AAEL003810	sugar transporter
AAEL003811	hypothetical protein
AAEL003812	hypothetical protein
AAEL003813	conserved hypothetical protein
AAEL003814	histone H4
AAEL003815	zinc finger protein
AAEL003816	hypothetical protein
AAEL003817	kappa b-ras
AAEL003818	histone H2A
AAEL003819	conserved hypothetical protein
AAEL003820	histone H2A
AAEL003821	hypothetical protein
AAEL003822	conserved hypothetical protein
AAEL003823	histone H4
AAEL003824	conserved hypothetical protein
AAEL003825	conserved hypothetical protein
AAEL003826	histone H2A
AAEL003827	histone H3
AAEL003828	histone H3
AAEL003829	dynamin
AAEL003830	hypothetical protein
AAEL003831	fatty acid hydroxylase
AAEL003832	Defensin-C Precursor 
AAEL003833	histone H4
AAEL003834	metalloproteinase, putative
AAEL003835	initiation factor 5a
AAEL003836	histone H3
AAEL003837	ryanodine receptor 3, brain
AAEL003838	histone H4
AAEL003839	conserved hypothetical protein
AAEL003840	Galectin.
AAEL003841	Defensin-A Precursor (AaDef)
AAEL003842	hypothetical protein
AAEL003843	hypothetical protein
AAEL003844	Galectin.
AAEL003845	Ets domain-containing protein
AAEL003846	histone H4
AAEL003847	conserved hypothetical protein
AAEL003848	hypothetical protein
AAEL003849	Defensin,Anti-Microbial Peptide.
AAEL003850	histone H3
AAEL003851	histone H2A
AAEL003852	histone H3
AAEL003853	nephrin
AAEL003854	hypothetical protein
AAEL003855	flightless-I, putative
AAEL003856	histone H3
AAEL003857	Defensin,Anti-Microbial Peptide.
AAEL003858	UPF0466 protein AAEL003858, mitochondrial Precursor 
AAEL003859	leucine-rich transmembrane protein
AAEL003860	sodium- and chloride-dependent neurotransmitter transporter
AAEL003861	bmp-induced factor
AAEL003862	histone H2A
AAEL003863	histone H4
AAEL003864	conserved hypothetical protein
AAEL003865	hypothetical protein
AAEL003866	histone H4
AAEL003867	conserved hypothetical protein
AAEL003868	DNA repair protein xp-c / rad4
AAEL003869	conserved hypothetical protein
AAEL003870	conserved hypothetical protein
AAEL003871	proteasome subunit alpha type
AAEL003872	Translationally-controlled tumor protein homolog (TCTP)
AAEL003873	glycerol-3-phosphate dehydrogenase
AAEL003874	conserved hypothetical protein
AAEL003875	transcription factor SP4, putative
AAEL003876	conserved hypothetical protein
AAEL003877	ubiquitin
AAEL003878	hypothetical protein
AAEL003879	conserved hypothetical protein
AAEL003880	hypothetical protein
AAEL003881	ubiquitin, putative
AAEL003882	conserved hypothetical protein
AAEL003883	conserved hypothetical protein
AAEL003884	conserved hypothetical protein
AAEL003885	conserved hypothetical protein
AAEL003886	conserved hypothetical protein
AAEL003887	vacuolar membrane protein pep11
AAEL003888	ubiquitin
AAEL003889	Gram-NegativeBinding Protein (GNBP), or Beta-1,3-Glucan Binding Protein (BGBP).
AAEL003890	cytochrome P450
AAEL003891	ctl transporter
AAEL003892	conserved hypothetical protein
AAEL003893	DNA repair protein xp-c / rad4
AAEL003894	Gram-NegativeBinding Protein (GNBP), or Beta-1,3-Glucan Binding Protein (BGBP).
AAEL003895	conserved hypothetical protein
AAEL003896	serine/threonine protein kinase
AAEL003897	DNA repair protein xp-c / rad4
AAEL003898	conserved hypothetical protein
AAEL003899	sugar transporter
AAEL003900	hypothetical protein
AAEL003901	hypothetical protein
AAEL003903	acid phosphatase-1
AAEL003904	conserved hypothetical protein
AAEL003905	alkaline phosphatase
AAEL003906	endonuclease iii
AAEL003907	ubiquitination factor E4a
AAEL003908	nuclear pore complex protein nup107
AAEL003909	conserved hypothetical protein
AAEL003910	adam
AAEL003911	conserved hypothetical protein
AAEL003912	trafficking protein particle complex subunit 6b
AAEL003913	methionine-tRNA synthetase
AAEL003914	calcium/calmodulin-dependent serine protein kinase membrane-associated guanylate kinase (cask)
AAEL003915	acid phosphatase-1
AAEL003916	splicing factor, putative
AAEL003917	mitochondrial inner membrane protease subunit
AAEL003918	calcium-dependent protein kinase
AAEL003919	cationic amino acid transporter
AAEL003920	GPCR Dopamine Family
AAEL003921	ubiquitin, putative
AAEL003922	conserved hypothetical protein
AAEL003923	conserved hypothetical protein
AAEL003924	hypothetical protein
AAEL003925	conserved hypothetical protein
AAEL003926	GTP-binding protein lepa
AAEL003927	hypothetical protein
AAEL003928	pdgf/vegf receptor
AAEL003929	conserved hypothetical protein
AAEL003930	hypothetical protein
AAEL003931	conserved hypothetical protein
AAEL003932	hypothetical protein
AAEL003933	double oxidase, two peroxidase domains
AAEL003934	conserved hypothetical protein
AAEL003935	conserved hypothetical protein
AAEL003936	conserved hypothetical protein
AAEL003937	hypothetical protein
AAEL003938	mRNA cleavage stimulating factor, 50kD-subunit, putative
AAEL003939	eukaryotic translation initiation factor 2-alpha kinase 3 (pancreatic eif2-alpha kinase)
AAEL003940	hypothetical protein
AAEL003941	conserved hypothetical protein
AAEL003942	60S ribosomal protein L44 L41, putative
AAEL003943	hypothetical protein
AAEL003944	conserved hypothetical protein
AAEL003945	transcription initiation factor IIF alpha subunit
AAEL003946	mitochondrial ribosomal protein S33, putative
AAEL003947	hypothetical protein
AAEL003948	hypothetical protein
AAEL003949	conserved hypothetical protein
AAEL003950	helicase
AAEL003951	hypothetical protein
AAEL003952	calpain 4, 6, 7, invertebrate
AAEL003953	map/microtubule affinity-regulating kinase 2,4
AAEL003954	juvenile hormone-inducible protein, putative
AAEL003955	hypothetical protein
AAEL003956	amino acid transporter
AAEL003957	conserved hypothetical protein
AAEL003958	neurotransmitter gated ion channel
AAEL003959	short-chain dehydrogenase
AAEL003960	arylsulfatase b
AAEL003961	short-chain dehydrogenase
AAEL003962	hypothetical protein
AAEL003963	calpain 4, 6, 7, invertebrate
AAEL003964	conserved hypothetical protein
AAEL003965	calpain 4, 6, 7, invertebrate
AAEL003966	lachesin, putative
AAEL003967	calpain 4, 6, 7, invertebrate
AAEL003968	helicase
AAEL003969	leukocyte receptor tyrosine protein kinase
AAEL003970	amino acid transporter
AAEL003971	conserved hypothetical protein
AAEL003972	conserved hypothetical protein
AAEL003973	conserved hypothetical protein
AAEL003974	hypothetical protein
AAEL003975	WD-repeat protein
AAEL003976	conserved hypothetical protein
AAEL003977	elongase, putative
AAEL003978	hypothetical protein
AAEL003979	deadenylation factor EDEN-BP, putative
AAEL003980	component of oligomeric golgi complex
AAEL003981	hypothetical protein
AAEL003982	hypothetical protein
AAEL003983	adenylate cyclase
AAEL003984	hypothetical protein
AAEL003985	small nuclear ribonucleoprotein, core, putative
AAEL003986	conserved hypothetical protein
AAEL003987	hypothetical protein
AAEL003988	hypothetical protein
AAEL003989	GTP-binding  protein alpha subunit, gna
AAEL003990	myeloid leukemia factor,
AAEL003991	alcohol dehydrogenase
AAEL003992	conserved hypothetical protein
AAEL003993	cyclohex-1-ene-1-carboxyl-CoA hydratase, putative
AAEL003994	phenylalanyl-tRNA synthetase mitochondrial
AAEL003995	zinc binding dehydrogenase
AAEL003996	conserved hypothetical protein
AAEL003997	conserved hypothetical protein
AAEL003998	conserved hypothetical protein
AAEL003999	hyperpolarization activated cyclic nucleotide-gated potassium channel
AAEL004000	Toll-likeReceptor.
AAEL004001	conserved hypothetical protein
AAEL004002	glucose dehydrogenase
AAEL004003	glucose dehydrogenase
AAEL004004	chromatin regulatory protein sir2
AAEL004005	conserved hypothetical protein
AAEL004006	acetylcholine receptor protein alpha 1, 2, 3, 4 invertebrate
AAEL004007	GTP binding protein (mitochondrial), putative
AAEL004008	acetylcholine receptor protein alpha 1, 2, 3, 4 invertebrate
AAEL004009	glucose dehydrogenase
AAEL004010	splicing factor, putative
AAEL004011	hypothetical protein
AAEL004012	cytochrome P450
AAEL004013	glucose dehydrogenase
AAEL004014	glucose dehydrogenase
AAEL004015	glucose dehydrogenase
AAEL004016	conserved hypothetical protein
AAEL004017	DNA polymerase v
AAEL004018	conserved hypothetical protein
AAEL004019	hypothetical protein
AAEL004020	conserved hypothetical protein
AAEL004021	glucose dehydrogenase
AAEL004023	juvenile hormone-inducible protein, putative
AAEL004024	conserved hypothetical protein
AAEL004025	glucose dehydrogenase
AAEL004026	conserved hypothetical protein
AAEL004027	glucose dehydrogenase
AAEL004028	glucose dehydrogenase
AAEL004029	hypothetical protein
AAEL004030	conserved hypothetical protein
AAEL004031	conserved hypothetical protein
AAEL004032	acetylcholine receptor protein alpha 1, 2, 3, 4 invertebrate
AAEL004033	conserved hypothetical protein
AAEL004034	mitochondrial ribosomal protein, S6, putative
AAEL004035	importin 11 (imp11) (ran-binding protein 11)
AAEL004036	glucose dehydrogenase
AAEL004037	p15-2b protein, putative
AAEL004038	hypothetical protein
AAEL004039	blooms syndrome DNA helicase
AAEL004040	protein phsophatase-2a
AAEL004041	flotillin-2
AAEL004042	conserved hypothetical protein
AAEL004043	conserved hypothetical protein
AAEL004044	hypothetical protein
AAEL004045	conserved hypothetical protein
AAEL004046	conserved hypothetical protein
AAEL004047	regulator of presynaptic morphology protein
AAEL004048	UNC93A protein, putative
AAEL004049	conserved hypothetical protein
AAEL004050	diphosphomevalonate decarboxylase
AAEL004051	hypothetical protein
AAEL004052	conserved hypothetical protein
AAEL004053	conserved hypothetical protein
AAEL004054	cytochrome P450
AAEL004055	conserved hypothetical protein
AAEL004056	conserved hypothetical protein
AAEL004057	conserved hypothetical protein
AAEL004058	hypothetical protein
AAEL004059	cystathionine beta-lyase
AAEL004060	conserved hypothetical protein
AAEL004061	acetylcholine receptor protein alpha 1, 2, 3, 4 invertebrate
AAEL004062	conserved hypothetical protein
AAEL004063	WD-repeat protein
AAEL004064	meiotic checkpoint regulator cut4
AAEL004065	conserved hypothetical protein
AAEL004066	conserved hypothetical protein
AAEL004067	mitochondrial benzodiazepine receptor, putative
AAEL004068	hypothetical protein
AAEL004069	mitochondrial 28S ribosomal protein S14 (s14mt)
AAEL004070	hypothetical protein
AAEL004071	nitrogen fixation protein nifu
AAEL004072	conserved hypothetical protein
AAEL004073	polypeptide of 976 aa, putative
AAEL004074	conserved hypothetical protein
AAEL004075	RNA binding motif protein
AAEL004076	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5)
AAEL004077	conserved hypothetical protein
AAEL004078	succinyl-coa synthetase beta chain
AAEL004079	hypothetical protein
AAEL004080	hypothetical protein
AAEL004081	dj-1 protein (park7)
AAEL004082	lipase
AAEL004083	WD-repeat protein
AAEL004084	conserved hypothetical protein
AAEL004085	hypothetical protein
AAEL004086	aldo-keto reductase
AAEL004087	conserved hypothetical protein
AAEL004088	aldo-keto reductase
AAEL004089	conserved hypothetical protein
AAEL004090	conserved hypothetical protein
AAEL004091	pickpocket
AAEL004092	deoxyribonuclease I, putative
AAEL004093	hypothetical protein
AAEL004094	pou domain
AAEL004095	aldo-keto reductase
AAEL004096	aldo-keto reductase
AAEL004097	enhancer of split protein, putative
AAEL004098	neuromusculin
AAEL004099	trichohyalin, putative
AAEL004100	hypothetical protein
AAEL004101	hypothetical protein
AAEL004102	aldo-keto reductase
AAEL004103	deoxyribonuclease I, putative
AAEL004104	hypothetical protein
AAEL004105	neuroglobin, putative
AAEL004106	hairy protein
AAEL004107	nucleoside diphosphate kinase, putative
AAEL004108	hypothetical protein
AAEL004109	conserved hypothetical protein
AAEL004110	cdk10/11
AAEL004111	hypothetical protein
AAEL004112	thioredoxin peroxidase
AAEL004113	conserved hypothetical protein
AAEL004114	UNC93A protein, putative
AAEL004115	hypothetical protein
AAEL004116	hypothetical protein
AAEL004117	ATP-dependent RNA helicase
AAEL004118	aldo-keto reductase
AAEL004119	ribonuclease p/mrp subunit
AAEL004120	Niemann-Pick Type C-2, putative
AAEL004121	ubiquitin-conjugating enzyme E2 q
AAEL004122	conserved hypothetical protein
AAEL004123	conserved hypothetical protein
AAEL004124	mitochondrial glutamate carrier, putative
AAEL004125	signal transduction protein lnk-realted
AAEL004126	sterol desaturase
AAEL004127	acyl-coa dehydrogenase
AAEL004128	conserved hypothetical protein
AAEL004129	conserved hypothetical protein
AAEL004130	conserved hypothetical protein
AAEL004131	gh regulated tbc protein-1
AAEL004132	Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31)
AAEL004133	echinoid
AAEL004134	lupus la ribonucleoprotein
AAEL004135	sterol desaturase
AAEL004136	hypothetical protein
AAEL004137	acyl-coa dehydrogenase
AAEL004138	signal peptide peptidase
AAEL004139	hypothetical protein
AAEL004140	hypothetical protein
AAEL004141	phosphatidylinositol transfer protein/retinal degeneration b protein
AAEL004142	Phagocyte signaling-impaired protein (N-terminal acetyltransferase B complex subunit NAA25 homolog)(N-terminal acetyltransferase B complex subunit MDM20 homolog)
AAEL004143	n-acetylglucosaminyl-phosphatidylinositol de-n-acetylase
AAEL004144	conserved hypothetical protein
AAEL004145	conserved hypothetical protein
AAEL004146	Cryptochrome-1 
AAEL004147	tetraspanin, putative
AAEL004148	heat shock protein 70 (hsp70)-interacting protein
AAEL004149	hypothetical protein
AAEL004150	fibrinogen and fibronectin
AAEL004151	conserved hypothetical protein
AAEL004152	ubiquitin-conjugating enzyme E2-25kD
AAEL004153	conserved hypothetical protein
AAEL004154	conserved hypothetical protein
AAEL004155	conserved hypothetical protein
AAEL004156	fibrinogen and fibronectin
AAEL004157	hypothetical protein
AAEL004158	bcl2/adenovirus E1b 19-kda protein-interacting protein
AAEL004159	T-box transcription factor tbx6
AAEL004160	Cap2b receptor, putative
AAEL004161	conserved hypothetical protein
AAEL004162	lipase, putative
AAEL004163	O-fucosyltransferase, putative
AAEL004164	conserved hypothetical protein
AAEL004165	bone morphogenetic protein receptor type II, putative
AAEL004166	conserved hypothetical protein
AAEL004167	zinc finger protein
AAEL004168	syntaxin
AAEL004169	conserved hypothetical protein
AAEL004170	hypothetical protein
AAEL004171	hypothetical protein
AAEL004172	tubulin alpha chain
AAEL004173	26S proteasome non-ATPase regulatory subunit
AAEL004174	T-box transcription factor tbx6
AAEL004175	40S ribosomal protein S17
AAEL004176	microtubule binding protein, putative
AAEL004177	conserved hypothetical protein
AAEL004178	ribose-phosphate pyrophosphokinase 1,
AAEL004179	conserved hypothetical protein
AAEL004180	conserved hypothetical protein
AAEL004181	conserved hypothetical protein
AAEL004182	conserved hypothetical protein
AAEL004183	conserved hypothetical protein
AAEL004184	hypothetical protein
AAEL004185	conserved hypothetical protein
AAEL004186	conserved hypothetical protein
AAEL004187	conserved hypothetical protein
AAEL004188	conserved hypothetical protein
AAEL004189	hypothetical protein
AAEL004190	hypothetical protein
AAEL004191	selenocysteine-specific elongation factor
AAEL004192	hypothetical protein
AAEL004193	rhophilin
AAEL004194	bcl2/adenovirus E1b 19-kda protein-interacting protein
AAEL004195	membrane associated progesterone receptor
AAEL004196	Galectin.
AAEL004197	hypothetical protein
AAEL004198	conserved hypothetical protein
AAEL004199	allergen, putative
AAEL004200	DNA replication licensing factor MCM8
AAEL004201	voltage-dependent p/q type calcium channel
AAEL004202	hypothetical protein
AAEL004203	conserved hypothetical protein
AAEL004204	conserved hypothetical protein
AAEL004205	hypothetical protein
AAEL004206	hypothetical protein
AAEL004208	hypothetical protein
AAEL004209	opioid-binding protein/cell adhesion molecule, putative
AAEL004210	conserved hypothetical protein
AAEL004211	conserved hypothetical protein
AAEL004212	conserved hypothetical protein
AAEL004213	monocarboxylate transporter
AAEL004214	hypothetical protein
AAEL004215	hypothetical protein
AAEL004216	hypothetical protein
AAEL004217	conserved hypothetical protein
AAEL004218	odorant receptor
AAEL004219	rap GTPase-activating protein
AAEL004220	hypothetical protein
AAEL004221	glycogen synthase
AAEL004222	voltage-dependent p/q type calcium channel
AAEL004223	Cecropin,Anti-Microbial Peptide.
AAEL004224	hypothetical protein
AAEL004225	conserved hypothetical protein
AAEL004226	membrane alanine aminopeptidase, putative
AAEL004227	myosin vi
AAEL004228	oligosaccharyl transferase
AAEL004229	glutathionetransferase
AAEL004230	hypothetical protein
AAEL004231	M12 mutant protein precursor, putative
AAEL004232	pre-mRNA splicing factor prp17
AAEL004233	conserved hypothetical protein
AAEL004234	conserved hypothetical protein
AAEL004235	kinesin-like protein Klp10A
AAEL004236	arf6 guanine nucleotide exchange factor
AAEL004237	vacuolar protein sorting 18 (deep orange protein)
AAEL004238	conserved hypothetical protein
AAEL004239	conserved hypothetical protein
AAEL004240	gamma glutamyl transpeptidases
AAEL004241	kinesin heavy chain
AAEL004242	juvenile hormone-inducible protein, putative
AAEL004243	S1 RNA binding domain protein, putative
AAEL004244	hypothetical protein
AAEL004245	GPCR Orphan/Putative Class A Family
AAEL004246	still life, sif
AAEL004247	Sialin, Sodium/sialic acid cotransporter, putative
AAEL004248	neuronal calcium sensor
AAEL004249	conserved hypothetical protein
AAEL004250	conserved hypothetical protein
AAEL004251	map kinase phosphatase
AAEL004252	hypothetical protein
AAEL004253	hypothetical protein
AAEL004254	hypothetical protein
AAEL004255	zinc finger protein
AAEL004256	sodium/phosphate cotransporter, putative
AAEL004257	conserved hypothetical protein
AAEL004258	hypothetical protein
AAEL004259	RNA-binding protein lin-28
AAEL004260	parkin (ubiquitin E3 ligase prkn)
AAEL004261	conserved hypothetical protein
AAEL004262	protein phosphatases pp1 regulatory subunit
AAEL004263	small nuclear ribonucleoprotein sm d1
AAEL004264	conserved hypothetical protein
AAEL004265	hypothetical protein
AAEL004266	pre-mRNA cleavage factor im, 25kD subunit
AAEL004267	parkin (ubiquitin E3 ligase prkn)
AAEL004268	Sialin, Sodium/sialic acid cotransporter, putative
AAEL004269	hippocalcin
AAEL004270	kinectin, putative
AAEL004271	conserved hypothetical protein
AAEL004272	hypothetical protein
AAEL004273	short-chain dehydrogenase
AAEL004274	hypothetical protein
AAEL004275	Osiris, putative
AAEL004276	conserved hypothetical protein
AAEL004277	conserved hypothetical protein
AAEL004278	conserved hypothetical protein
AAEL004279	hypothetical protein
AAEL004280	Osiris, putative
AAEL004281	short-chain dehydrogenase
AAEL004282	protein-(glutamine-N5) methyl transferase, putative
AAEL004283	conserved hypothetical protein
AAEL004284	mitochondrial ATPase inhibitor, putative
AAEL004285	sphingosine kinase a, b
AAEL004286	hypothetical protein
AAEL004287	fas-associated protein
AAEL004288	protein phsophatase-2a
AAEL004289	stromal antigen
AAEL004290	histone-lysine n-methyltransferase
AAEL004291	translin
AAEL004292	hypothetical protein
AAEL004293	conserved hypothetical protein
AAEL004294	dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase
AAEL004295	glucose-6-phosphatase
AAEL004296	conserved hypothetical protein
AAEL004297	ATP-citrate synthase
AAEL004298	Osiris, putative
AAEL004299	angiotensin-converting-relatedenzyme
AAEL004300	conserved hypothetical protein
AAEL004301	conserved hypothetical protein
AAEL004302	conserved hypothetical protein
AAEL004303	conserved hypothetical protein
AAEL004304	hypothetical protein
AAEL004305	conserved hypothetical protein
AAEL004306	39S ribosomal protein L19, mitochondrial precursor
AAEL004307	n-myc downstream regulated
AAEL004308	proteasome subunit alpha type
AAEL004309	hypothetical protein
AAEL004310	p15-2a protein, putative
AAEL004311	conserved hypothetical protein
AAEL004312	hypothetical protein
AAEL004313	fk506-binding protein
AAEL004314	conserved hypothetical protein
AAEL004315	hypothetical protein
AAEL004316	hypothetical protein
AAEL004317	hypothetical protein
AAEL004318	hypothetical protein
AAEL004319	epidermal growth factor receptor
AAEL004320	WOC protein, putative
AAEL004321	hypothetical protein
AAEL004322	hypothetical protein
AAEL004324	hypothetical protein
AAEL004325	60S ribosomal protein L5 
AAEL004326	conserved hypothetical protein
AAEL004327	valyl-tRNA synthetase
AAEL004328	origin recognition complex subunit
AAEL004329	rab gdp-dissociation inhibitor
AAEL004330	conserved hypothetical protein
AAEL004331	ABC transporter
AAEL004332	conserved hypothetical protein
AAEL004333	pax neighbour protein
AAEL004334	hypothetical protein
AAEL004335	secreted ferritin G subunit precursor, putative
AAEL004336	hypothetical protein
AAEL004337	hypothetical protein
AAEL004338	pyruvate dehydrogenase
AAEL004339	odorant-binding protein 56a, putative
AAEL004340	hypothetical protein
AAEL004342	conserved hypothetical protein
AAEL004343	conserved hypothetical protein
AAEL004344	zinc finger protein
AAEL004345	cysteinyl-tRNA synthetase
AAEL004346	hypothetical protein
AAEL004347	Eukaryotic translation initiation factor 3 subunit M (eIF3m)
AAEL004348	NF-180, putative
AAEL004349	tetraspanin, putative
AAEL004350	janus A, putative
AAEL004351	casein kinase
AAEL004352	conserved hypothetical protein
AAEL004353	hypothetical protein
AAEL004354	hypothetical protein
AAEL004355	conserved hypothetical protein
AAEL004356	hypothetical protein
AAEL004357	neuroligin,
AAEL004358	conserved hypothetical protein
AAEL004359	conserved hypothetical protein
AAEL004360	conserved hypothetical protein
AAEL004361	alpha-glucosidase
AAEL004362	conserved hypothetical protein
AAEL004363	conserved hypothetical protein
AAEL004364	conserved hypothetical protein
AAEL004365	hypothetical protein
AAEL004366	conserved hypothetical protein
AAEL004367	conserved hypothetical protein
AAEL004368	nucleolar RNA-associated protein
AAEL004369	alpha-glucosidase
AAEL004370	conserved hypothetical protein
AAEL004371	SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily B member 1
AAEL004372	hypothetical protein
AAEL004373	hypothetical protein
AAEL004374	alpha-glucosidase II, alpha-subunit, putative
AAEL004375	myosin-rhogap protein, myr
AAEL004376	conserved hypothetical protein
AAEL004377	hypothetical protein
AAEL004378	eukaryotic translation initiation factor 1A (eIF-1A)
AAEL004379	phosphatidylinositol 4-kinase type-ii
AAEL004380	conserved hypothetical protein
AAEL004381	capicua protein
AAEL004382	conserved hypothetical protein
AAEL004383	conserved hypothetical protein
AAEL004384	hypothetical protein
AAEL004385	UGA suppressor tRNA-associated antigenic protein, putative
AAEL004386	chorion peroxidase precursor
AAEL004387	hypothetical protein
AAEL004388	heme peroxidase
AAEL004389	mannosidase alpha class 2a
AAEL004390	heme peroxidase
AAEL004391	conserved hypothetical protein
AAEL004392	IAP-antagonistMichelob_x-like Protein
AAEL004393	afadin (af-6 protein)
AAEL004394	nuclear pore complex protein nup98
AAEL004395	hypothetical protein
AAEL004396	GPCR Octopamine/Tyramine Family
AAEL004397	conserved hypothetical protein
AAEL004398	GPCR Octopamine/Tyramine Family
AAEL004399	GPCR Glycoprotein Hormone Family
AAEL004401	heme peroxidase
AAEL004402	alpha-l-iduronidase
AAEL004403	hypothetical protein
AAEL004404	HIG1 domain family member 2A, putative
AAEL004405	conserved hypothetical protein
AAEL004406	conserved hypothetical protein
AAEL004407	allergen, putative
AAEL004408	hypothetical protein
AAEL004409	yellow protein, putative
AAEL004410	protein phosphatase
AAEL004411	hypothetical protein
AAEL004412	polo kinase kinase
AAEL004413	hypothetical protein
AAEL004414	conserved hypothetical protein
AAEL004415	fuse-binding protein-interacting repressor siahbp1
AAEL004416	histone deacetylase
AAEL004417	conserved hypothetical protein
AAEL004418	hypothetical protein
AAEL004419	ATP-dependent RNA helicase
AAEL004420	conserved hypothetical protein
AAEL004421	hypothetical protein
AAEL004422	conserved hypothetical protein
AAEL004423	mitochondrial F0 ATP synthase D chain, putative
AAEL004424	hypothetical protein
AAEL004425	ctg4a
AAEL004426	Syntaxin 18, putative
AAEL004427	prefoldin subunit
AAEL004428	salivary gland-expressed bHLH, putative
AAEL004429	conserved hypothetical protein
AAEL004430	mitochondrial ribosomal protein, L30, putative
AAEL004431	phospholipase c gamma
AAEL004432	hypothetical protein
AAEL004433	mitochondrial ribosomal protein, L14, putative
AAEL004434	transketolase
AAEL004435	kynurenine aminotransferase
AAEL004436	conserved hypothetical protein
AAEL004437	dual-specificity protein phosphatase, putative
AAEL004438	conserved hypothetical protein
AAEL004439	conserved hypothetical protein
AAEL004440	tubulin-specific chaperone e
AAEL004441	importin 9 (imp9) (ran-binding protein 9)
AAEL004442	conserved hypothetical protein
AAEL004443	nitrilase, putative
AAEL004444	zinc finger protein
AAEL004445	DEAD box ATP-dependent RNA helicase
AAEL004446	hypothetical protein
AAEL004447	hypothetical protein
AAEL004448	torsin a
AAEL004449	conserved hypothetical protein
AAEL004450	cytochrome b5, putative
AAEL004451	organic cation transporter
AAEL004452	fast myosin heavy chain HCIII, putative
AAEL004453	DEAD box ATP-dependent RNA helicase
AAEL004454	hypothetical protein
AAEL004455	conserved hypothetical protein
AAEL004456	DEAD box ATP-dependent RNA helicase
AAEL004457	cytochrome c
AAEL004458	Zinc finger CCCH-type with G patch domain-containing protein 
AAEL004459	hypothetical protein
AAEL004460	sulfatase
AAEL004461	lamin, putative
AAEL004462	hypothetical protein
AAEL004463	conserved hypothetical protein
AAEL004464	organic cation transporter
AAEL004465	conserved hypothetical protein
AAEL004466	conserved hypothetical protein
AAEL004467	predicted protein
AAEL004468	hypothetical protein
AAEL004469	adaptin, alpha/gamma/epsilon
AAEL004470	hypothetical protein
AAEL004471	conserved hypothetical protein
AAEL004472	hypothetical protein
AAEL004473	conserved hypothetical protein
AAEL004474	non-receptor serine/threonine protein kinase
AAEL004475	arp2/3 complex 21 kd subunit
AAEL004476	conserved hypothetical protein
AAEL004477	cell division control protein
AAEL004478	conserved hypothetical protein
AAEL004479	organic cation transporter
AAEL004480	cell division cycle 20 (cdc20) (fizzy)
AAEL004481	hypothetical protein
AAEL004482	conserved hypothetical protein
AAEL004483	hypothetical protein
AAEL004484	predicted protein
AAEL004485	sodium/hydrogen exchanger 5, 6, 8 (nhe5, nhe6, nhe8)
AAEL004486	valacyclovir hydrolase
AAEL004487	valacyclovir hydrolase
AAEL004488	conserved hypothetical protein
AAEL004489	hypothetical protein
AAEL004490	conserved hypothetical protein
AAEL004491	hypothetical protein
AAEL004492	cyclin-dependent kinases regulatory subunit. putative
AAEL004493	ribosome biogenesis protein tsr1 (20S rRNA accumulation protein 1)
AAEL004494	conserved hypothetical protein
AAEL004495	ankyrin repeat domain
AAEL004496	glutamate transporter
AAEL004497	conserved hypothetical protein
AAEL004498	hypothetical protein
AAEL004499	hypothetical protein
AAEL004500	eukaryotic translation elongation factor
AAEL004501	s-adenosylmethionine synthetase
AAEL004502	conserved hypothetical protein
AAEL004503	conserved hypothetical protein
AAEL004504	valacyclovir hydrolase
